player_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
153079,https://sofifa.com/player/153079/sergio-aguero/210002/,S. Agüero,Sergio Leonel Agüero del Castillo,32,1988-06-02,181,70,Argentina,Manchester City,English Premier League,1,89,89,83500000,300000,ST,Right,4,4,4,High/ Medium,Unique,Yes,98100000,"#Dribbler, #Clinical Finisher, #Complete Forward",SUB,10,,2011-07-28,2021,ST,9,78,90,77,88,33,73,,,,,,,"Injury Prone, Leadership, Chip Shot (AI)",70,94,78,83,86,88,83,73,64,89,79,78,84,92,91,89,78,78,74,84,65,24,94,83,75,91,30,29,24,13,15,6,11,14,87+2,87+2,87+2,86+0,88+0,88+0,88+0,86+0,86+3,86+3,86+3,84+3,77+3,77+3,77+3,84+3,60+3,58+3,58+3,58+3,60+3,56+3,51+3,51+3,51+3,56+3
212198,https://sofifa.com/player/212198/bruno-miguel-borges-fernandes/210002/,Bruno Fernandes,Bruno Miguel Borges Fernandes,25,1994-09-08,181,70,Portugal,Manchester United,English Premier League,1,87,90,105500000,195000,CM,Right,2,4,4,High/ High,Lean (170-185),Yes,124400000,"#Playmaker , #Engine, #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder",CAM,18,,2020-01-30,2025,RCM,16,77,83,88,85,68,75,,,,,,,"Solid Player, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",87,77,58,88,86,85,86,87,87,88,78,76,79,86,79,89,72,94,67,89,70,74,83,90,91,86,72,67,55,12,14,15,8,14,80+2,80+2,80+2,84+0,84+0,84+0,84+0,84+0,86+2,86+2,86+2,85+2,86+2,86+2,86+2,85+2,79+2,79+2,79+2,79+2,79+2,76+2,70+2,70+2,70+2,76+2
231281,https://sofifa.com/player/231281/trent-alexander-arnold/210002/,T. Alexander-Arnold,Trent Alexander-Arnold,21,1998-10-07,181,70,England,Liverpool,English Premier League,1,87,92,114000000,110000,RB,Right,2,4,3,High/ Medium,Unique,Yes,115500000,#Crosser,RB,66,,2015-10-07,2024,RB,2,80,66,87,80,80,71,,,,,,,"Early Crosser, Long Passer (AI), Long Shot Taker (AI)",93,56,69,85,62,77,88,85,89,87,77,83,74,83,74,80,66,88,62,74,74,82,76,84,55,81,79,83,79,14,15,14,6,7,74+2,74+2,74+2,79+0,78+0,78+0,78+0,79+0,80+2,80+2,80+2,82+2,83+2,83+2,83+2,82+2,84+2,83+2,83+2,83+2,84+2,83+2,78+2,78+2,78+2,83+2
209499,https://sofifa.com/player/209499/fabio-henrique-tavares/210002/,Fabinho,Fábio Henrique Tavares,26,1993-10-23,181,70,Brazil,Liverpool,English Premier League,1,87,89,88500000,155000,CDM,Right,3,2,3,Medium/ High,Unique,Yes,104900000,"#Tackling , #Tactician ",CDM,3,,2018-07-01,2023,"63 Finishing
","75 Heading Accuracy
",67,69,79,77,85,83,,,,,,,"Dives Into Tackles (AI), Long Passer (AI)",75,63,75,85,47,76,71,53,83,82,66,68,66,84,65,81,75,88,81,70,86,87,70,79,90,84,86,87,85,13,12,6,8,8,74+3,74+3,74+3,75+0,76+0,76+0,76+0,75+0,77+3,77+3,77+3,77+3,81+3,81+3,81+3,77+3,82+3,85+3,85+3,85+3,82+3,82+3,84+3,84+3,84+3,82+3
216267,https://sofifa.com/player/216267/andrew-robertson/210002/,A. Robertson,Andrew Robertson,26,1994-03-11,181,70,Scotland,Liverpool,English Premier League,1,87,89,90500000,155000,LB,Left,3,2,3,High/ High,Unique,Yes,102000000,"#Engine, #Crosser",LB,26,,2017-07-21,2024,LB,3,82,62,80,80,81,76,,,,,,,"Early Crosser, Speed Dribbler (AI)",90,57,67,82,32,80,82,38,76,82,79,85,78,84,74,78,62,95,65,65,85,82,77,79,55,83,83,84,81,11,8,10,7,14,73+3,73+3,73+3,79+0,77+0,77+0,77+0,79+0,78+3,78+3,78+3,81+3,80+3,80+3,80+3,81+3,85+3,82+3,82+3,82+3,85+3,84+3,79+3,79+3,79+3,84+3
212218,https://sofifa.com/player/212218/aymeric-laporte/210002/,A. Laporte,Aymeric Laporte,26,1994-05-27,181,70,France,Manchester City,English Premier League,1,87,90,92500000,200000,CB,Left,2,3,2,Medium/ Medium,Unique,Yes,107800000,"#Tackling , #Tactician ",LCB,14,,2018-01-30,2024,"45 Finishing
","86 Heading Accuracy
",63,50,72,68,88,81,,,,,,,Long Passer (AI),58,45,86,82,40,63,61,69,80,78,60,65,59,87,60,68,76,72,85,47,81,87,54,65,44,85,89,89,88,10,11,5,14,5,66+2,66+2,66+2,65+0,66+0,66+0,66+0,65+0,68+2,68+2,68+2,68+2,74+2,74+2,74+2,68+2,78+2,83+2,83+2,83+2,78+2,80+2,86+2,86+2,86+2,80+2
167948,https://sofifa.com/player/167948/hugo-lloris/210002/,H. Lloris,Hugo Lloris,33,1986-12-26,181,70,France,Tottenham Hotspur,English Premier League,1,87,87,26000000,125000,GK,Left,4,1,1,Medium/ Medium,Unique,Yes,51300000,,GK,1,,2012-08-31,2022,GK,1,,,,,,,89,82,68,90,63,84,"Rushes Out Of Goal, Comes For Crosses",13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,51,74,41,43,14,31,27,10,30,40,65,29,10,18,89,82,68,84,90,31+3,31+3,31+3,32+0,33+0,33+0,33+0,32+0,35+3,35+3,35+3,35+3,37+3,37+3,37+3,35+3,35+3,37+3,37+3,37+3,35+3,34+3,30+3,30+3,30+3,34+3
208830,https://sofifa.com/player/208830/jamie-vardy/210002/,J. Vardy,Jamie Vardy,33,1987-01-11,181,70,England,Leicester City,English Premier League,1,86,86,43500000,160000,ST,Right,3,3,3,High/ High,Unique,Yes,53200000,,ST,9,,2012-05-01,2023,"92 Finishing
","79 Heading Accuracy
",88,85,66,78,55,75,,,,,,,"Dives Into Tackles (AI), Team Player",68,92,79,69,82,77,67,57,48,81,90,87,72,90,75,87,79,79,68,65,87,49,92,73,84,87,57,50,53,15,14,7,15,11,84+2,84+2,84+2,80+0,83+0,83+0,83+0,80+0,78+3,78+3,78+3,79+3,71+3,71+3,71+3,79+3,68+3,64+3,64+3,64+3,68+3,67+3,64+3,64+3,64+3,67+3
188567,https://sofifa.com/player/188567/pierre-emerick-aubameyang/210002/,P. Aubameyang,Pierre-Emerick Aubameyang,31,1989-06-18,181,70,Gabon,Arsenal,English Premier League,1,87,87,67500000,170000,LW,Right,3,4,4,High/ High,Unique,Yes,85500000,#Speedster,LW,14,,2018-01-31,2021,"91 Finishing
","75 Heading Accuracy
",93,86,75,80,38,69,,,,,,,"Solid Player, Finesse Shot, Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",76,91,75,77,84,80,81,76,64,82,91,94,77,88,68,82,75,80,74,78,43,48,93,77,78,88,27,29,36,6,9,15,9,9,85+2,85+2,85+2,84+0,85+0,85+0,85+0,84+0,82+3,82+3,82+3,82+3,75+3,75+3,75+3,82+3,65+3,59+3,59+3,59+3,65+3,62+3,52+3,52+3,52+3,62+3
183711,https://sofifa.com/player/183711/jordan-henderson/210002/,J. Henderson,Jordan Brian Henderson,30,1990-06-17,181,70,England,Liverpool,English Premier League,1,86,86,57000000,140000,CM,Right,2,3,3,High/ High,Normal (170-185),Yes,67500000,#Engine,RCM,14,,2011-06-09,2023,RCM,8,65,74,84,79,81,82,,,,,,,"Leadership, Early Crosser, Long Passer (AI), Team Player",82,73,65,86,71,78,80,74,87,84,66,65,69,86,68,77,78,91,78,75,84,85,78,83,64,82,84,83,77,7,13,7,9,13,76+2,76+2,76+2,78+0,79+0,79+0,79+0,78+0,80+2,80+2,80+2,80+2,84+2,84+2,84+2,80+2,82+2,85+1,85+1,85+1,82+2,81+2,80+2,80+2,80+2,81+2
201942,https://sofifa.com/player/201942/roberto-firmino-barbosa-de-oliveira/210002/,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,28,1991-10-02,181,70,Brazil,Liverpool,English Premier League,1,87,87,81500000,190000,CF,Right,3,4,5,High/ High,Unique,Yes,96200000,"#Dribbler, #Engine",CF,9,,2015-07-06,2023,"80 Finishing
","75 Heading Accuracy
",77,80,81,90,61,78,,,,,,,"Flair, Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",73,80,75,87,85,90,81,65,76,91,78,77,85,90,86,82,81,88,74,77,75,58,86,86,72,88,60,64,42,8,11,9,6,10,83+3,83+3,83+3,84+0,85+0,85+0,85+0,84+0,86+1,86+1,86+1,84+3,83+3,83+3,83+3,84+3,73+3,74+3,74+3,74+3,73+3,70+3,68+3,68+3,68+3,70+3
218667,https://sofifa.com/player/218667/bernardo-mota-carvalho-e-silva/210002/,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,25,1994-08-10,181,70,Portugal,Manchester City,English Premier League,1,87,88,95000000,230000,CM,Left,2,3,4,High/ High,Lean (170-185),Yes,115500000,"#Dribbler, #Engine, #Acrobat",LCM,20,,2017-07-01,2025,CAM,10,81,77,83,92,51,67,,,,,,,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",85,79,51,86,70,92,84,67,76,92,85,78,94,85,92,76,51,93,54,76,69,49,85,85,68,87,49,59,40,9,10,14,12,9,78+2,78+2,78+2,86+0,85+0,85+0,85+0,86+0,86+2,86+2,86+2,86+2,82+2,82+2,82+2,86+2,72+2,70+2,70+2,70+2,72+2,68+2,58+2,58+2,58+2,68+2
193080,https://sofifa.com/player/193080/david-de-gea-quintana/210002/,De Gea,David De Gea Quintana,29,1990-11-07,181,70,Spain,Manchester United,English Premier League,1,86,86,46500000,150000,GK,Right,4,3,1,Medium/ Medium,Unique,Yes,59900000,,GK,1,,2011-07-01,2023,GK,1,,,,,,,88,81,78,89,58,82,"Solid Player, GK Long Throw, Cautious With Crosses, Saves with Feet",17,13,21,50,13,18,21,19,47,38,57,58,63,83,43,59,67,43,60,12,38,30,12,61,29,65,25,21,13,88,81,78,82,89,35+3,35+3,35+3,36+0,38+0,38+0,38+0,36+0,41+3,41+3,41+3,39+3,42+3,42+3,42+3,39+3,36+3,40+3,40+3,40+3,36+3,35+3,34+3,34+3,34+3,35+3
195864,https://sofifa.com/player/195864/paul-pogba/210002/,P. Pogba,Paul Pogba,27,1993-03-15,181,70,France,Manchester United,English Premier League,1,86,87,77500000,190000,CDM,Right,4,4,5,High/ Medium,Unique,Yes,98800000,"#Dribbler, #Playmaker , #Strength, #Complete Midfielder",RDM,6,,2016-08-09,2021,"75 Finishing
","75 Heading Accuracy
",73,81,86,85,66,85,,,,,,,"Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",80,75,75,86,84,87,85,82,91,90,66,79,73,81,66,90,82,83,89,82,78,64,81,88,83,87,63,67,65,5,6,2,4,3,82+3,82+3,82+3,82+0,83+0,83+0,83+0,82+0,84+3,84+3,84+3,83+3,84+3,84+3,84+3,83+3,76+3,78+3,78+3,78+3,76+3,74+3,73+3,73+3,73+3,74+3
164240,https://sofifa.com/player/164240/thiago-emiliano-da-silva/210002/,Thiago Silva,Thiago Emiliano da Silva,35,1984-09-22,181,70,Brazil,Chelsea,English Premier League,1,85,85,14500000,95000,CB,Right,4,3,2,Medium/ High,Normal (170-185),Yes,21900000,#Tactician ,SUB,6,,2020-08-28,2021,"40 Finishing
","81 Heading Accuracy
",59,54,72,71,86,78,,,,,,,Power Header,60,40,81,80,61,67,62,61,80,79,57,61,67,81,66,71,90,71,82,65,76,88,59,70,60,86,87,86,84,9,12,5,9,10,66+3,66+3,66+3,66+0,67+0,67+0,67+0,66+0,70+3,70+3,70+3,68+3,75+3,75+3,75+3,68+3,76+3,82+3,82+3,82+3,76+3,78+3,83+2,83+2,83+2,78+3
208670,https://sofifa.com/player/208670/hakim-ziyech/210002/,H. Ziyech,Hakim Ziyech,27,1993-03-19,181,70,Morocco,Chelsea,English Premier League,1,85,86,62000000,140000,RW,Left,3,2,5,High/ High,Unique,Yes,86900000,"#Playmaker , #Crosser, #Complete Midfielder",SUB,22,,2020-07-01,2025,"73 Finishing
","53 Heading Accuracy
",80,76,87,84,50,66,,,,,,,"Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",88,73,53,86,74,83,90,78,89,85,83,77,85,84,78,83,37,80,59,77,73,52,82,89,67,79,44,56,40,11,7,11,8,14,77+3,77+3,77+3,83+0,82+0,82+0,82+0,83+0,84+2,84+2,84+2,84+2,82+3,82+3,82+3,84+2,70+3,70+3,70+3,70+3,70+3,66+3,57+3,57+3,57+3,66+3
181291,https://sofifa.com/player/181291/georginio-wijnaldum/210002/,G. Wijnaldum,Georginio Wijnaldum,29,1990-11-11,181,70,Netherlands,Liverpool,English Premier League,1,85,85,52500000,150000,CM,Right,3,4,4,High/ High,Unique,Yes,68500000,#Engine,LCM,5,,2016-07-22,2021,CAM,8,76,75,81,86,78,79,,,,,,,Flair,72,75,78,88,73,85,78,73,81,88,77,76,84,86,88,78,81,93,74,73,75,79,79,79,74,86,78,79,69,16,6,14,12,6,80+3,80+3,80+3,81+0,82+0,82+0,82+0,81+0,83+2,83+2,83+2,82+3,84+1,84+1,84+1,82+3,81+3,82+3,82+3,82+3,81+3,79+3,78+3,78+3,78+3,79+3
189509,https://sofifa.com/player/189509/thiago-alcantara/210002/,Thiago,Thiago Alcântara do Nascimento,29,1991-04-11,181,70,Spain,Liverpool,English Premier League,1,85,85,52500000,150000,CDM,Right,3,3,5,Medium/ Medium,Normal (170-185),Yes,68500000,"#Dribbler, #Acrobat",SUB,6,,2020-09-18,2024,RCM,10,64,72,85,90,70,62,,,,,,,"Injury Prone, Dives Into Tackles (AI), Flair, Outside Foot Shot, Technical Dribbler (AI)",78,68,54,89,84,90,85,77,89,91,74,55,91,85,90,75,75,73,59,73,54,83,75,85,75,86,67,71,68,6,11,7,9,13,74+3,74+3,74+3,81+0,80+0,80+0,80+0,81+0,84+1,84+1,84+1,81+3,84+1,84+1,84+1,81+3,77+3,79+3,79+3,79+3,77+3,75+3,70+3,70+3,70+3,75+3
188377,https://sofifa.com/player/188377/kyle-walker/210002/,K. Walker,Kyle Walker,30,1990-05-28,181,70,England,Manchester City,English Premier League,1,85,85,46500000,170000,RB,Right,3,2,3,High/ High,Unique,Yes,56400000,"#Speedster, #Engine",RB,2,,2017-07-14,2024,"51 Finishing
","74 Heading Accuracy
",92,63,76,77,80,82,,,,,,,"Long Throw-in, Speed Dribbler (AI)",81,51,74,78,57,79,76,71,76,79,90,94,66,84,69,86,83,89,79,69,78,80,68,69,63,75,77,83,82,12,6,16,15,8,74+3,74+3,74+3,76+0,75+0,75+0,75+0,76+0,75+3,75+3,75+3,78+3,77+3,77+3,77+3,78+3,83+2,80+3,80+3,80+3,83+2,83+2,80+3,80+3,80+3,83+2
231866,https://sofifa.com/player/231866/rodrigo-hernandez-cascante/210002/,Rodri,Rodrigo Hernández Cascante,24,1996-06-22,181,70,Spain,Manchester City,English Premier League,1,85,88,66500000,145000,CM,Right,2,4,3,Medium/ High,Normal (185+),Yes,84700000,,CDM,16,,2019-07-04,2024,CDM,16,65,68,77,77,82,79,,,,,,,,63,64,75,85,59,76,65,54,82,82,66,65,68,82,69,74,69,84,79,76,76,83,75,82,46,85,83,84,78,10,10,7,14,8,74+2,74+2,74+2,74+0,76+0,76+0,76+0,74+0,78+2,78+2,78+2,76+2,81+2,81+2,81+2,76+2,78+2,82+2,82+2,82+2,78+2,78+2,80+2,80+2,80+2,78+2
204485,https://sofifa.com/player/204485/riyad-mahrez/210002/,R. Mahrez,Riyad Mahrez,29,1991-02-21,181,70,Algeria,Manchester City,English Premier League,1,85,85,53000000,210000,RM,Left,3,4,5,Medium/ Medium,Unique,Yes,69400000,"#Dribbler, #Acrobat",RW,26,,2018-07-10,2023,"79 Finishing
","48 Heading Accuracy
",83,79,81,90,38,59,,,,,,,"Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",83,79,48,80,76,90,84,78,75,91,87,79,92,81,88,79,60,76,55,80,48,39,80,84,70,84,45,31,22,15,9,13,11,6,77+3,77+3,77+3,84+0,83+0,83+0,83+0,84+0,84+1,84+1,84+1,84+1,77+3,77+3,77+3,84+1,64+3,60+3,60+3,60+3,64+3,59+3,48+3,48+3,48+3,59+3
135507,https://sofifa.com/player/135507/fernando-luiz-rosa/210002/,Fernandinho,Fernando Luiz Rosa,35,1985-05-04,181,70,Brazil,Manchester City,English Premier League,1,84,84,11000000,110000,CDM,Right,3,4,3,Medium/ High,Lean (170-185),Yes,17600000,#Tactician ,RCB,25,,2013-07-01,2021,"66 Finishing
","71 Heading Accuracy
",64,72,78,78,85,79,,,,,,,,68,66,71,86,73,76,70,72,81,82,67,62,69,88,77,83,84,78,76,78,87,89,70,73,61,81,88,86,83,12,11,5,13,7,75+3,75+3,75+3,75+0,76+0,76+0,76+0,75+0,77+3,77+3,77+3,76+3,81+3,81+3,81+3,76+3,80+3,84+0,84+0,84+0,80+3,80+3,83+1,83+1,83+1,80+3
