,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,Weak Foot,Skill Moves,International Reputation,Work Rate,Body Type,Real Face,Release Clause,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,GK,Likes,Dislikes,Following,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
31,242816,Ricard Puig Martí,20,https://cdn.sofifa.com/players/242/816/21_60.png,Spain,https://cdn.sofifa.com/flags/es.png,75,88,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€13.5M,€77K,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,212198,Bruno Miguel Borges Fernandes,25,https://cdn.sofifa.com/players/212/198/21_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,88,91,Manchester United,https://cdn.sofifa.com/teams/11/30.png,€121M,€240K,2336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,239818,Rúben Santos Gato Alves Dias,23,https://cdn.sofifa.com/players/239/818/21_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,82,87,Manchester City,https://cdn.sofifa.com/teams/10/30.png,€41.5M,€110K,1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,194765,Antoine Griezmann,29,https://cdn.sofifa.com/players/194/765/21_60.png,France,https://cdn.sofifa.com/flags/fr.png,86,86,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€68M,€270K,2276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,256948,Christos Tzolis,18,https://cdn.sofifa.com/players/256/948/21_60.png,Greece,https://cdn.sofifa.com/flags/gr.png,70,87,PAOK,https://cdn.sofifa.com/teams/393/30.png,€4M,€500,1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,256630,Florian Wirtz,17,https://cdn.sofifa.com/players/256/630/21_60.png,Germany,https://cdn.sofifa.com/flags/de.png,75,88,Bayer 04 Leverkusen,https://cdn.sofifa.com/teams/32/30.png,€13M,€7K,1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,253004,Anssumane Fati,17,https://cdn.sofifa.com/players/253/004/21_60.png,Spain,https://cdn.sofifa.com/flags/es.png,76,90,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€17M,€24K,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,246147,Mason Greenwood,18,https://cdn.sofifa.com/players/246/147/21_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,77,89,Manchester United,https://cdn.sofifa.com/teams/11/30.png,€24.5M,€33K,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,251570,Rayan Cherki,16,https://cdn.sofifa.com/players/251/570/21_60.png,France,https://cdn.sofifa.com/flags/fr.png,69,88,Olympique Lyonnais,https://cdn.sofifa.com/teams/66/30.png,€3.5M,€6K,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20801,C. Ronaldo dos Santos Aveiro,35,https://cdn.sofifa.com/players/020/801/21_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,92,92,Juventus,https://cdn.sofifa.com/teams/45/30.png,€63M,€220K,2221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,241852,Moussa Diaby,20,https://cdn.sofifa.com/players/241/852/21_60.png,France,https://cdn.sofifa.com/flags/fr.png,81,88,Bayer 04 Leverkusen,https://cdn.sofifa.com/teams/32/30.png,€51M,€60K,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,242418,Tariq Lamptey,19,https://cdn.sofifa.com/players/242/418/21_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,71,85,Brighton & Hove Albion,https://cdn.sofifa.com/teams/1808/30.png,€4.3M,€16K,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,231478,Lautaro Martínez,22,https://cdn.sofifa.com/players/231/478/21_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,84,91,Inter,https://cdn.sofifa.com/teams/44/30.png,€86.5M,€130K,2115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,251852,Karim Adeyemi,18,https://cdn.sofifa.com/players/251/852/21_60.png,Germany,https://cdn.sofifa.com/flags/de.png,69,86,FC Red Bull Salzburg,https://cdn.sofifa.com/teams/191/30.png,€3.6M,€6K,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,251804,Sergiño Dest,19,https://cdn.sofifa.com/players/251/804/21_60.png,United States,https://cdn.sofifa.com/flags/us.png,75,86,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€11.5M,€50K,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,245371,Thiago Almada,19,https://cdn.sofifa.com/players/245/371/21_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,75,89,Vélez Sarsfield,https://cdn.sofifa.com/teams/101088/30.png,€13.5M,€10K,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,242444,João Félix Sequeira,20,https://cdn.sofifa.com/players/242/444/21_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,83,93,Atlético Madrid,https://cdn.sofifa.com/teams/240/30.png,€80.5M,€61K,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,235569,Tanguy Ndombele,23,https://cdn.sofifa.com/players/235/569/21_60.png,France,https://cdn.sofifa.com/flags/fr.png,81,88,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/30.png,€51.5M,€88K,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,244778,Francisco Mota Castro Trincão,20,https://cdn.sofifa.com/players/244/778/21_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,78,88,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€31M,€105K,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
